"Location","lon","lat"
"Hamilton Township, NJ",-74.6796651,40.2115109
"Hampton, VA",-76.3452218,37.0298687
"Harrington, DE",-75.5777033,38.9237244
"Harris County, TX",-95.3102505,29.7751825
"Harrisburg, PA",-76.8867008,40.2731911
"Hartford, CT",-72.6850932,41.7637111
"Harvey, LA",-90.0772944,29.9035387
"Hauma, LA",-90.7195348,29.5957696
"Haw River, NC",-79.3641862,36.091526
"Hawthorne, CA",-118.3525748,33.9164032
"Hendersonville, NC",-82.4609528,35.3187279
"Herkimer, NY",-74.9859889,43.0256259
"Herndon, VA",-77.3860976,38.9695545
"Hialea, FL",-80.2781057,25.8575963
"High Point, NC",-80.0053176,35.9556923
"Highland, CA",-117.2086513,34.1283442
"Hobbs, NM",-103.1360403,32.7026116
"Hollister, CA",-121.4016021,36.8524545
"Holly Hill, SC",-80.4137037,33.3226624
"Hope Mills, NC",-78.9453056,34.9704419
"Hopewell, VA",-77.2872001,37.3043154
"Houma, LA",-90.7195348,29.5957696
"Houston County, AL",-85.3136218,31.1318686
"Houston, TX",-95.3698028,29.7604267
"Huntington, WV",-82.445154,38.4192496
"Huntsville, AL",-86.5861037,34.7303688
"Indianapolis, IN",-86.158068,39.768403
"Inglis, FL",-82.6687161,29.0302514
"Inkster, MI",-83.3099303,42.2942045
"Irvington, NJ",-74.2286435,40.7263249
"Jackson, MS",-90.1848103,32.2987573
"Jackson, TN",-88.8139469,35.6145169
"Jacksonville, FL",-81.655651,30.3321838
"Jefferson County, AL",-86.9824288,33.4914122
"Jersey City, NJ",-74.0776417,40.7281575
"Johnstown, PA",-78.9219698,40.3267407
"Joliet, IL",-88.0817251,41.525031
"Jonesboro, AR",-90.704279,35.8422967
"Kalamazoo, MI",-85.5872286,42.2917069
"Kansas City, KS",-94.6274636,39.114053
"Kansas City, MO",-94.5785667,39.0997265
"Kent, WA",-122.2348431,47.3809335
"Kentwood, MI",-85.6447492,42.8694731
"Kileen, TX",-97.7277959,31.1171194
"Killeen, TX",-97.7277959,31.1171194
"King, NC",-80.3592197,36.2806939
"Kingsessing, PA",-75.221652,39.9391535
"Kinloch, MO",-90.3253922,38.7406065
"Kissimmee, FL",-81.407571,28.2919557
"Knoxville, TN",-83.9207392,35.9606384
"Kokomo, IN",-86.1336033,40.486427
"LaGrange, GA",-85.0322444,33.0362218
"Lafayette, LA",-92.0198427,30.2240897
"Lake Butler, FL",-82.3395574,30.0227391
"Lakeland, FL",-81.9498042,28.0394654
"Lancaster, CA",-118.1541632,34.6867846
"Lancaster, TX",-96.7561082,32.5920798
"Lansing, MI",-84.5555347,42.732535
"Las Piedras, PR",-65.8441742,18.2025991
"Las Vegas, NV",-115.1398296,36.1699412
"Lauderdale Lakes, FL",-80.2083806,26.1664736
"Lehigh Acres, FL",-81.6248026,26.6253497
"Lexington, KY",-84.5037164,38.0405837
"Lexington, SC",-81.2362107,33.9815369
"Lillington, NC",-78.8158528,35.399327
"Little Rock, AR",-92.2895948,34.7464809
"Livermore, CA",-121.7680088,37.6818745
"Long Beach, CA",-118.1937395,33.7700504
"Long Branch, NJ",-73.9923596,40.3042778
"Lookout Valley, TN",-85.3746811,34.9939646
"Lorain, OH",-82.1823746,41.452819
"Los Angeles, CA",-118.2436849,34.0522342
"Los Banos, CA",-120.8499151,37.0582786
"Los Chavez, NM",-106.7554819,34.736851
"Louisville, KY",-85.7584557,38.2526647
"Lowell, MA",-71.3161718,42.6334247
"Lumberton, NC",-79.0086424,34.6182199
"Lunenburg, VA",-78.2660275,36.9612967
"Macon, GA",-83.6324022,32.8406946
"Madera, CA",-120.0607176,36.9613356
"Madison County, AL",-86.4996546,34.7239731
"Manassas, VA",-77.4752667,38.7509488
"Manchester, CT",-72.5215009,41.7759301
"Manchester, IL",-90.3323434,39.5422692
"Manhatten, KS",-96.5716694,39.1836082
"Mankato, MN",-93.9993996,44.1635775
"Manson, WA",-120.1567011,47.8847447
"Margate, FL",-80.206436,26.2445263
"Marion, NC",-82.0092745,35.6840131
"Marysville, WA",-122.1770818,48.0517637
"McKeesport, PA",-79.8641232,40.3470671
"Medford, NY",-73.0001068,40.8175985
"Memphis, TN",-90.0489801,35.1495343
"Menasha, WI",-88.4464973,44.2022084
"Merced County, CA",-120.7120023,37.2009788
"Merced, CA",-120.4829677,37.3021632
"Meridian, MS",-88.703656,32.3643098
"Mesa, AZ",-111.8314724,33.4151843
"Mesquite, TX",-96.5991593,32.7667955
"Miami Gardens, FL",-80.2456045,25.9420377
"Miami, FL",-80.1917902,25.7616798
"Milledgeville, GA",-83.2320991,33.0801429
"Milwaukee, WI",-87.9064736,43.0389025
"Minneapolis, MN",-93.2650108,44.977753
"Mission Viejo, CA",-117.6719953,33.6000232
"Modesto, CA",-120.9968782,37.6390972
"Moncks Corner, SC",-80.0131374,33.1960027
"Moneta, VA",-79.6172536,37.1812536
"Montclair, NJ",-74.2090053,40.8259007
"Montgomery County, PA",-75.3878525,40.2290075
"Montgomery, AL",-86.2999689,32.3668052
"Montgomory, IL",-88.3459048,41.730585
"Moreno Valley, CA",-117.2296717,33.9424658
"Moscow, ID",-117.0001651,46.7323875
"Moultrie, GA",-83.7888387,31.1799407
"Murray, KY",-88.314761,36.6103334
"Muskegon Heights, MI",-86.2389464,43.2011264
"Muskegon, MI",-86.2483921,43.2341813
"Myrtle Beach, SC",-78.8866943,33.6890603
"Nashville, TN",-86.7816016,36.1626638
"Navajo Nation, AZ",-109.1880047,36.0672173
"New Bedford, MA",-70.934205,41.6362152
"New Haven, CT",-72.9278835,41.308274
"New Orleans, LA",-90.0715323,29.9510658
"New Port Richey, FL",-82.7192671,28.2441768
"New York, NY",-74.0059413,40.7127837
"Newark, NJ",-74.1723667,40.735657
"Newburgh, NY",-74.0104178,41.5034271
"Newport News, VA",-76.4730122,37.0870821
"Norcross, GA",-84.2135309,33.9412127
"Norfolk, VA",-76.2858726,36.8507689
"North Amityville, NY",-73.4098154,40.6988709
"North Charleston, SC",-79.9748103,32.8546197
"North Las Vegas, NV",-115.1175013,36.1988592
"North Liberty, IA",-91.6080974,41.739482
"North Rome, GA",-85.1646726,34.257038
"Northhampton, PA",-75.4968501,40.6862075
"Norwalk, CA",-118.081733,33.9022367
"Oak Lawn, IL",-87.7479528,41.719978
"Oak Park, MI",-83.1827051,42.4594803
"Oakdale, MN",-92.9649361,44.9630216
"Oakland, CA",-122.2711137,37.8043637
"Oakland, ME",-69.721995,44.5402221
"Oberlin, OH",-82.2173786,41.2939386
"Ocala, FL",-82.1400923,29.1871986
"Ocean Township, NJ",-74.029843,40.2479729
"Oklahoma City, OK",-97.5164276,35.4675602
"Oklahoma, OK",-97.5164276,35.4675602
"Olivehurst, CA",-121.5521858,39.0954484
"Omaha, NE",-95.9979883,41.2523634
"Opa-locka, FL",-80.2503271,25.9023168
"Opp, AL",-86.2555067,31.2826685
"Orangeburg, SC",-80.8556476,33.4918203
"Orlando, FL",-81.3792365,28.5383355
"Ottawa, KS",-95.2686366,38.615768
"Pageland, SC",-80.3917315,34.7732102
"Palm Springs, FL",-80.0961538,26.6359009
"Palo Alto, CA",-122.1430195,37.4418834
"Panama City Beach, FL",-85.8054879,30.1765914
"Panola County, MS",-89.9253233,34.4198016
"Paris, TX",-95.555513,33.6609389
"Park Forest, IL",-87.6744891,41.4914236
"Parsons, KS",-95.2610838,37.3403384
"Pasadena, CA",-118.1445155,34.1477849
"Paterson, NJ",-74.171811,40.9167654
"Peachtree Corners, GA",-84.2214551,33.9698929
"Pelzer, NC",-82.5772336,35.633852
"Pendleton, SC",-82.7837514,34.6517733
"Peoria, IL",-89.5889864,40.6936488
"Perris, CA",-117.2286478,33.7825194
"Perry, FL",-83.5818147,30.1174351
"Philadelphia, PA",-75.1652215,39.9525839
"Phoenix, AZ",-112.0740373,33.4483771
"Pine Bluff, AR",-92.0031955,34.2284312
"Pine Hills, FL",-81.4534046,28.5577794
"Pittsburgh, PA",-79.9958864,40.4406248
"Pittsfield, MA",-73.2453824,42.4500845
"Plainfield, NJ",-74.4073736,40.6337136
"Platte, SD",-98.8445303,43.3869397
"Pleasant Valley, NY",-73.8212439,41.7445382
"Pomona, CA",-117.7499909,34.055103
"Pompano Beach, FL",-80.1247667,26.2378597
"Pontiac, MI",-83.2910468,42.6389216
"Port Norris, NJ",-75.035178,39.2459477
"Port Orange, FL",-80.9956105,29.1383165
"Portland, OR",-122.6764816,45.5230622
"Portsmouth, VA",-76.2982742,36.8354258
"Providence, RI",-71.4128343,41.8239891
"Raceland, LA",-90.5989759,29.7274331
"Radcliff, KY",-85.9491298,37.8403456
"Raleigh, NC",-78.6381787,35.7795897
"Reading, PA",-75.9268747,40.3356483
"Red Springs, NC",-79.183091,34.8151633
"Renegade Mountain, TN",-84.8522294,35.8823309
"Reno, NV",-119.8138027,39.5296329
"Rice, TX",-96.4985966,32.2437586
"Richmond, CA",-122.3477486,37.9357576
"Richmond, IN",-84.8902382,39.8289369
"Richmond, VA",-77.4360481,37.5407246
"Ridgecrest, CA",-117.6708966,35.6224561
"River Forest, IL",-87.8139483,41.8978091
"Riverside, CA",-117.3961564,33.9533487
"Roanoke, VA",-79.9414266,37.2709704
"Rochester, NY",-77.6109219,43.16103
"Rock Falls, IL",-89.6889967,41.7797533
"Rock Hill, SC",-81.0250784,34.9248667
"Rockford, IL",-89.0939952,42.2711311
"Rocky Mount, NC",-77.7905339,35.9382103
"Rome, GA",-85.1646726,34.257038
"Roseburg, OR",-123.3417381,43.216505
"Roseville, CA",-121.2880059,38.7521235
"Ross Township, PA",-80.0199562,40.5367715
"Roswell, NM",-104.5230242,33.3942655
"Round Mountain, AL",-87.3364102,34.5803704
"Roy, UT",-112.0263313,41.1616108
"Saco, ME",-70.4428286,43.5009176
"Sacramento, CA",-121.4943996,38.5815719
"Saginaw, MI",-83.9508068,43.4194699
"Salem City, NJ",-75.4671423,39.5717796
"Salem, OR",-123.0350963,44.9428975
"Salinas, CA",-121.6555013,36.6777372
"Salt Lake City, UT",-111.8910474,40.7607793
"San Antonio, TX",-98.4936282,29.4241219
"San Bernardino, CA",-117.2897652,34.1083449
"San Carlos Park, FL",-81.8014742,26.4673016
"San Diego, CA",-117.1610838,32.715738
"San Fernando Valley, CA",-118.4396756,34.1825782
"San Francisco, CA",-122.4194155,37.7749295
"San Jose, CA",-121.8863286,37.3382082
"San Juan, PR",-66.1057217,18.4663338
"Sand City, CA",-121.8482855,36.6171819
"Sandusky, OH",-82.7079605,41.4489396
"Santa Ana, CA",-117.8678338,33.7455731
"Santa Barbara ,CA",-119.6981901,34.4208305
"Santa Monica, CA",-118.4911912,34.0194543
"Sarasota, FL",-82.5306527,27.3364347
"Sauk Villiage, IL",-87.5675414,41.4883685
"Savannah, GA",-81.0998342,32.0835407
"Seat Pleasant, MD",-76.9066399,38.8962231
"Seattle, WA",-122.3320708,47.6062095
"Sells, AZ",-111.881234,31.9120215
"Shaler, PA",-79.9528451,40.5309184
"Shelby, NC",-81.5356463,35.2923513
"Shoreview, MN",-93.1471667,45.0791325
"Shreveport, LA",-93.7501789,32.5251516
"Sikeston, MO",-89.5878579,36.876719
"Sisseton, SD",-97.0498046,45.6646815
"Skyline, WA",-122.684618,48.483158
"Slidell, LA",-89.7811745,30.2751945
"Smith County, TX",-95.3102505,32.3352505
"Smithfield, NC",-78.3394455,35.5084935
"Snellville, GA",-84.0199108,33.857328
"South Bend, IN",-86.2519898,41.6763545
"South Memphis, TN",-90.0466559,35.0938569
"Southern Pines, NC",-79.3922539,35.1740471
"Spanish Fork, UT",-111.654923,40.114955
"Springdale, MD",-76.8388602,38.9376113
"Springfield, MA",-72.589811,42.1014831
"Springfield, MO",-93.2922989,37.2089572
"Springfield, OH",-83.8088171,39.9242266
"St. Joseph County, IN",-86.3376761,41.6228085
"St. Louis, MO",-90.1994042,38.6270025
"St. Pauls, PA",-75.291383,40.0037997
"St. Petersburg, FL",-82.6267345,27.7518284
"Stamford, CT",-73.5387341,41.0534302
"Starkville, MS",-88.8183872,33.4503998
"Starr County, TX",-98.7481167,26.6215167
"Statesville, NC",-80.8872959,35.7826363
"Stockton, CA",-121.2907796,37.9577016
"Stopover, KY",-82.09124,37.5159411
"Suffolk, VA",-76.5835621,36.7282054
"Sylvester, GA",-83.8354542,31.5307349
"Syracuse, NY",-76.1474244,43.0481221
"Tabernacle, NJ",-74.7107048,39.8433853
"Tallahassee, FL",-84.2807329,30.4382559
"Tampa Bay, FL",-82.5436722,27.763383
"Tampa, FL",-82.4571776,27.950575
"Tangelo Park, FL",-81.4459047,28.4558386
"Tarboro, NC",-77.5358049,35.8968236
"Taunton, MA",-71.0897674,41.900101
"Terrell, TX",-96.2752569,32.7359626
"Three Rivers, CA",-118.9045445,36.4388364
"Toledo, OH",-83.555212,41.6639383
"Topeka, KS",-95.6890185,39.0558235
"Trenton, NJ",-74.7429384,40.2170534
"Troup County, GA",-85.023346,33.0698575
"Troy, NY",-73.6917851,42.7284117
"Tucson, AZ",-110.926479,32.2217429
"Tulsa, OK",-95.992775,36.1539816
"Tuscaloosa, AL",-87.5691735,33.2098407
"Tuskegee, AL",-85.7077266,32.430237
"Tustin, CA",-117.826166,33.7458511
"Tyrone, MO",-91.8765399,37.2033832
"Utica, NY",-75.232664,43.100903
"Valdosta, GA",-83.2784851,30.8327022
"Vallejo, CA",-122.2566367,38.1040864
"Vanceboro, NC",-77.1541194,35.3084953
"Venice, IL",-90.169832,38.6722727
"Vineland, NJ",-75.0259637,39.4863773
"Virginia Beach, VA",-75.977985,36.8529263
"Waco, TX",-97.1466695,31.549333
"Walterboro, SC",-80.6667688,32.9051704
"Warren, MI",-83.0146526,42.5144566
"Warrensville Heights, OH",-81.5102655,41.4323067
"Washington Park, IL",-90.0928852,38.6350501
"Washington, DC",-77.0368707,38.9071923
"Waynesville, IN",-85.893517,39.114391
"Waynsboro, GA",-82.0156736,33.0898731
"Webster, NY",-77.4299939,43.2122851
"Weir, TX",-97.5861701,30.6749425
"West Broward, FL",-80.365865,26.190096
"West Frankfort, IL",-88.9233622,37.8985966
"West Little River, FL",-80.2369934,25.8570407
"West Palm Beach, FL",-80.0533746,26.7153424
"Westover, WV",-79.9697862,39.6345259
"Wheat Ridge, CO",-105.0772063,39.766098
"Whitehaven, TN",-90.0466559,35.0277933
"Whitesburg, KY",-82.8268265,37.1184318
"Wichita, KS",-97.330053,37.6871761
"Williamsport, PA",-77.0010786,41.2411897
"Williston, FL",-82.4467705,29.38747
"Wilmington, CA",-118.2643567,33.7857948
"Wilmington, DE",-75.5397878,39.7390721
"Winchester, KY",-84.1796503,37.990079
"Windsor, CA",-83.0363633,42.3149367
"Winston-Salem, NC",-80.244216,36.0998596
"Woodlawn, IL",-87.5939087,41.780228
"Woonsocket, RI",-71.5147839,42.0028761
"Wrightsville, GA",-82.719859,32.7293279
"Wyandanch, NY",-73.360398,40.7539878
"Yakima, WA",-120.5058987,46.6020711
"Ybor City, FL",-82.4350941,27.9650212
"York City, PA",-76.727745,39.9625984
"Youngstown, OH",-80.6495194,41.0997803
"Zanesville, OH",-82.0131924,39.9403453
